房款总额：2000000 首付款:300000.0 总贷款:1700000.0 公积金贷款:1540000 商业贷款:160000.0
贷款月份:360 公积金年利率：2.60% 商贷年利率：3.05% 三年期存款年利率:1.75%
第N个月,月供,月存款利息,月贷款利息,截止当月存款利息和, 截止当月贷款利息和,总收益/亏损,配售房等同租金
99,7436.13888888889,2916.666666666667,2713.916666666667,288750.00000000006,322862.50000000006,-34112.5,1666.6666666666667
100,7425.740740740742,2916.666666666667,2703.518518518519,291666.6666666667,325566.0185185186,-33899.35185185191,1666.6666666666667
101,7415.342592592593,2916.666666666667,2693.120370370371,294583.3333333334,328259.13888888893,-33675.80555555556,1666.6666666666667
102,7404.944444444445,2916.666666666667,2682.7222222222226,297500.00000000006,330941.8611111111,-33441.861111111066,1666.6666666666667
103,7394.546296296297,2916.666666666667,2672.324074074075,300416.6666666667,333614.1851851852,-33197.51851851854,1666.6666666666667
104,7384.148148148149,2916.666666666667,2661.925925925926,303333.3333333334,336276.1111111111,-32942.77777777775,1666.6666666666667
105,7373.750000000002,2916.666666666667,2651.5277777777787,306250.00000000006,338927.63888888893,-32677.638888888876,1666.6666666666667
106,7363.351851851852,2916.666666666667,2641.12962962963,309166.6666666667,341568.7685185186,-32402.101851851912,1666.6666666666667
107,7352.953703703704,2916.666666666667,2630.7314814814818,312083.3333333334,344199.50000000006,-32116.166666666686,1666.6666666666667
108,7342.555555555557,2916.666666666667,2620.3333333333335,315000.00000000006,346819.8333333334,-31819.833333333314,1666.6666666666667
109,7332.157407407409,2916.666666666667,2609.9351851851857,317916.6666666667,349429.7685185186,-31513.101851851912,1666.6666666666667
110,7321.75925925926,2916.666666666667,2599.5370370370374,320833.3333333334,352029.3055555556,-31195.972222222248,1666.6666666666667
111,7311.361111111112,2916.666666666667,2589.1388888888896,323750.00000000006,354618.4444444445,-30868.444444444438,1666.6666666666667
112,7300.9629629629635,2916.666666666667,2578.7407407407413,326666.6666666667,357197.1851851852,-30530.51851851854,1666.6666666666667
113,7290.564814814816,2916.666666666667,2568.342592592593,329583.3333333334,359765.52777777787,-30182.194444444496,1666.6666666666667
114,7280.166666666668,2916.666666666667,2557.944444444445,332500.00000000006,362323.4722222223,-29823.472222222248,1666.6666666666667
115,7269.768518518519,2916.666666666667,2547.5462962962965,335416.6666666667,364871.0185185186,-29454.351851851912,1666.6666666666667
116,7259.37037037037,2916.666666666667,2537.1481481481483,338333.3333333334,367408.16666666674,-29074.833333333372,1666.6666666666667
117,7248.972222222223,2916.666666666667,2526.7500000000005,341250.00000000006,369934.91666666674,-28684.916666666686,1666.6666666666667
118,7238.574074074075,2916.666666666667,2516.351851851852,344166.6666666667,372451.2685185186,-28284.601851851912,1666.6666666666667
119,7228.175925925927,2916.666666666667,2505.9537037037044,347083.3333333334,374957.2222222223,-27873.888888888934,1666.6666666666667
120,7217.777777777778,2916.666666666667,2495.5555555555557,350000.00000000006,377452.77777777787,-27452.77777777781,1666.6666666666667
121,7207.3796296296305,2916.666666666667,2485.157407407408,352916.6666666667,379937.9351851852,-27021.26851851854,1666.6666666666667
122,7196.981481481482,2916.666666666667,2474.7592592592596,355833.3333333334,382412.6944444445,-26579.361111111124,1666.6666666666667
123,7186.583333333334,2916.666666666667,2464.3611111111113,358750.00000000006,384877.0555555556,-26127.055555555562,1666.6666666666667
124,7176.185185185186,2916.666666666667,2453.9629629629635,361666.6666666667,387331.0185185186,-25664.351851851912,1666.6666666666667
125,7165.787037037038,2916.666666666667,2443.5648148148152,364583.3333333334,389774.5833333334,-25191.25,1666.6666666666667
126,7155.38888888889,2916.666666666667,2433.166666666667,367500.00000000006,392207.75000000006,-24707.75,1666.6666666666667
127,7144.990740740742,2916.666666666667,2422.768518518519,370416.6666666667,394630.5185185186,-24213.851851851912,1666.6666666666667
128,7134.592592592593,2916.666666666667,2412.3703703703704,373333.3333333334,397042.88888888893,-23709.555555555562,1666.6666666666667
129,7124.194444444445,2916.666666666667,2401.9722222222226,376250.00000000006,399444.8611111111,-23194.861111111066,1666.6666666666667
